"2019-08-24 13:06:17.000","www.coursera.org","cname","www-cloudfront-alias.coursera.org","201908"
"2019-08-24 06:17:33.000","corp.coursera.org","ns","ns-1487.awsdns-57.org","201908"
"2019-08-24 06:17:33.000","corp.coursera.org","ns","ns-1560.awsdns-03.co.uk","201908"
"2019-08-24 06:17:33.000","corp.coursera.org","ns","ns-415.awsdns-51.com","201908"
"2019-08-24 06:17:33.000","corp.coursera.org","ns","ns-721.awsdns-26.net","201908"
"2019-08-24 06:17:33.000","corp.coursera.org","soa","ns-415.awsdns-51.com awsdns-hostmaster.amazon.com 1 7200 900 1209600 86400","201908"
"2019-08-24 05:03:39.000","building.coursera.org","a","13.32.253.104","201908"
"2019-08-24 05:03:39.000","building.coursera.org","a","13.32.253.219","201908"
"2019-08-24 05:03:39.000","building.coursera.org","a","13.32.253.42","201908"
"2019-08-24 05:03:39.000","building.coursera.org","a","13.32.253.89","201908"
"2019-08-24 05:18:22.000","business.coursera.org","a","52.0.97.60","201908"
"2019-08-24 05:18:22.000","business.coursera.org","a","52.4.1.216","201908"
"2019-08-24 05:18:22.000","business.coursera.org","a","52.6.210.116","201908"
"2019-08-24 08:22:32.000","es.coursera.org","a","13.33.147.252","201908"
"2019-08-24 08:22:32.000","es.coursera.org","a","13.33.147.23","201908"
"2019-08-24 08:22:32.000","es.coursera.org","a","13.33.147.3","201908"
"2019-08-24 08:22:32.000","es.coursera.org","a","13.33.147.40","201908"
"2019-08-24 20:08:51.000","ubc.coursera.org","cname","class.coursera.org","201908"
"2019-08-24 19:01:33.000","skillsfuture.coursera.org","a","13.33.147.220","201908"
"2019-08-24 19:01:33.000","skillsfuture.coursera.org","a","13.33.147.23","201908"
"2019-08-24 19:01:33.000","skillsfuture.coursera.org","a","13.33.147.3","201908"
"2019-08-24 19:01:33.000","skillsfuture.coursera.org","a","13.33.147.40","201908"
"2019-08-24 11:22:44.000","ko.coursera.org","a","52.84.246.158","201908"
"2019-08-24 11:22:44.000","ko.coursera.org","a","52.84.246.108","201908"
"2019-08-24 11:22:44.000","ko.coursera.org","a","52.84.246.42","201908"
"2019-08-24 11:22:44.000","ko.coursera.org","a","52.84.246.86","201908"
"2019-08-24 08:50:54.000","go.coursera.org","cname","d1h07086blu20i.cloudfront.net","201908"
"2019-08-24 12:45:28.000","mcmaster.coursera.org","cname","class.coursera.org","201908"
"2019-08-24 19:44:35.000","teach.coursera.org","a","52.84.246.158","201908"
"2019-08-24 19:44:35.000","teach.coursera.org","a","52.84.246.108","201908"
"2019-08-24 19:44:35.000","teach.coursera.org","a","52.84.246.42","201908"
"2019-08-24 19:44:35.000","teach.coursera.org","a","52.84.246.86","201908"
"2019-08-24 08:37:55.000","fr.coursera.org","a","13.32.253.104","201908"
"2019-08-24 08:37:55.000","fr.coursera.org","a","13.32.253.219","201908"
"2019-08-24 08:37:55.000","fr.coursera.org","a","13.32.253.42","201908"
"2019-08-24 08:37:55.000","fr.coursera.org","a","13.32.253.89","201908"
