"2019-08-24 19:17:03.000","spam.sec.myseek.xyz","cname","mx0a-002a9501.pphosted.com","201908"
"2019-08-24 04:07:30.000","archer.myseek.xyz","a","13.236.141.45","201908"
"2019-08-24 04:07:30.000","archer.myseek.xyz","a","52.63.135.245","201908"
"2019-08-24 04:07:30.000","archer.myseek.xyz","txt","|v=spf1 ip4:52.62.38.23 ip4:13.210.162.78 ~all","201908"
"2019-08-24 19:36:46.000","sy-oob.myseek.xyz","a","103.87.39.66","201908"
"2019-08-24 19:38:09.000","sy-vpngw01.myseek.xyz","a","103.114.206.2","201908"
"2019-08-24 19:18:22.000","sponsor.myseek.xyz","a","172.17.25.11","201908"
"2019-08-24 11:47:21.000","m1-ise01.myseek.xyz","a","172.31.1.12","201908"
"2019-08-24 11:47:21.000","m1-ise01.myseek.xyz","ptr","172.31.1.12","201908"
"2019-08-24 11:55:54.000","m1-ise02.myseek.xyz","a","172.31.1.13","201908"
"2019-08-24 11:55:54.000","m1-ise02.myseek.xyz","ptr","172.31.1.13","201908"
"2019-08-24 11:46:29.000","m1-oob.myseek.xyz","a","103.87.38.238","201908"
"2019-08-24 11:47:40.000","m1-vpngw01.myseek.xyz","a","103.108.116.2","201908"
"2019-08-24 04:02:08.000","akl-vpngw01.myseek.xyz","a","131.203.240.66","201908"
"2019-08-24 20:25:13.000","visitor.myseek.xyz","a","172.17.25.11","201908"
"2019-08-24 19:01:58.000","smtp.myseek.xyz","a","172.25.225.133","201908"
"2019-08-24 18:02:58.000","prodigy.myseek.xyz","ns","ns-1338.awsdns-39.org","201908"
"2019-08-24 18:02:58.000","prodigy.myseek.xyz","ns","ns-1943.awsdns-50.co.uk","201908"
"2019-08-24 18:02:58.000","prodigy.myseek.xyz","ns","ns-202.awsdns-25.com","201908"
"2019-08-24 18:02:58.000","prodigy.myseek.xyz","ns","ns-956.awsdns-55.net","201908"
"2019-08-24 18:02:58.000","prodigy.myseek.xyz","soa","ns-202.awsdns-25.com awsdns-hostmaster.amazon.com 1 7200 900 1209600 86400","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","a","52.63.189.73","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","a","52.65.84.182","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","a","52.65.89.106","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","ns","ns-1452.awsdns-53.org","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","ns","ns-180.awsdns-22.com","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","ns","ns-2032.awsdns-62.co.uk","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","ns","ns-953.awsdns-55.net","201908"
"2019-08-24 19:21:22.000","staging.prodigy.myseek.xyz","soa","ns-953.awsdns-55.net awsdns-hostmaster.amazon.com 1 7200 900 1209600 86400","201908"
